,Run 1,Run 2,Run 3,Mean Accuracy
Dropout_0.3,0.4664,0.4699,0.4658,0.4674
Dropout_0.4,0.4662,0.4742,0.4546,0.465
Dropout_0.7,0.01,0.2227,0.01,0.0809
