,Run 1,Run 2,Run 3,Mean Accuracy
Filters_32,0.4022,0.4272,0.3968,0.4087
Filters_96,0.4424,0.4162,0.4254,0.428
Filters_128,0.4443,0.4419,0.4484,0.4449
